작업 호기,제품명,실제 기계 밀도,RPM,생산량(YD)
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,100
34,6FD-RMJ,68.0,516.0,132
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,138
2,6CL-FJ,49.0,533.0,275
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
3,6CL-FJ,49.0,533.0,138
